date,5. adjusted close,F
2010-11-18,28.1855,11.7968
2010-11-19,28.2432,11.9139
2010-11-22,28.0948,11.8553
2010-11-23,27.4106,11.4894
2010-11-24,27.6002,11.6724
2010-11-26,27.864,11.7822
2010-11-29,27.864,11.7529
2010-11-30,28.1938,11.6651
2010-12-01,28.6719,12.0456
2010-12-02,28.5895,12.2798
2010-12-03,28.4823,12.2944
2010-12-06,28.4246,12.1847
2010-12-07,28.5895,12.1188
2010-12-08,28.3999,12.2139
2010-12-09,27.8146,12.2652
2010-12-10,27.8723,12.2432
2010-12-13,27.864,12.0529
2010-12-14,27.9382,12.0163
2010-12-15,27.7074,12.1115
2010-12-16,27.7074,12.2725
2010-12-17,28.0289,12.2944
2010-12-20,27.831,12.331
2010-12-21,27.9052,12.4335
2010-12-22,28.7873,12.4335
2010-12-23,28.6966,12.2798
2010-12-27,28.5235,12.3457
2010-12-28,29.1171,12.2432
2010-12-29,29.6941,12.2505
2010-12-30,30.3536,12.2139
2010-12-31,30.3866,12.2871
2011-01-03,30.5515,12.6237
2011-01-04,31.244,12.7189
2011-01-05,31.3841,13.0921
2011-01-06,32.0684,13.3336
2011-01-07,32.1343,13.3702
2011-01-10,31.7881,13.3995
2011-01-11,31.9447,13.3775
2011-01-12,31.8375,13.6922
2011-01-13,31.549,13.6702
2011-01-14,31.4913,13.6483
2011-01-18,31.3511,13.6849
2011-01-19,30.8318,13.0994
2011-01-20,30.6504,13.0116
2011-01-21,30.6999,13.136
2011-01-24,31.0296,13.1214
2011-01-25,31.6562,13.0921
2011-01-26,31.2357,13.4434
2011-01-27,31.8787,13.7507
2011-01-28,30.1723,11.9066
2011-01-31,30.0816,11.6724
2011-02-01,30.0486,11.6285
2011-02-02,29.4138,11.2699
2011-02-03,29.7271,11.5333
2011-02-04,30.164,11.5041
2011-02-07,30.2547,11.7895
2011-02-08,30.4113,11.8846
2011-02-09,30.0156,11.7748
2011-02-10,29.5787,11.6724
2011-02-11,30.0486,11.9871
2011-02-14,29.9167,11.7748
2011-02-15,29.7683,11.7822
